X_Value,Voltage_0,Voltage_1
0.621,0.836917,1.22162
0.622,0.811437,1.254775
0.623,0.786925,1.296621
0.624,0.763703,1.320441
0.625,0.733063,1.279561
0.626,0.717904,1.240934
0.627,0.694682,1.191041
0.628,0.670492,1.105095
0.629,0.645335,0.96121
0.63,0.621468,0.87623
0.631,0.598246,0.817002
0.632,0.570509,0.701121
0.633,0.550834,0.668932
0.634,0.526,0.681164
0.635,0.501488,0.686636
0.636,0.476653,0.702409
0.637,0.452786,0.789963
0.638,0.426339,0.843719
0.639,0.402149,0.862711
0.64,0.37667,0.914213
0.641,0.353448,0.921295
0.642,0.329903,0.85756
0.643,0.306036,0.83535
0.644,0.281846,0.766787
0.645,0.258625,0.659597
0.646,0.23508,0.533737
0.647,0.213471,0.456161
0.648,0.186056,0.36571
0.649,0.165737,0.291353
0.65,0.14574,0.2891
0.651,0.114132,0.280087
0.652,0.093813,0.279443
0.653,0.067366,0.319036
0.654,0.040596,0.415281
0.655,0.014794,0.449402
0.656,-0.007737,0.461634
0.657,-0.030227,0.535347
0.658,-0.054644,0.516355
0.659,-0.076812,0.454874
0.66,-0.098337,0.404337
0.661,-0.126931,0.339315
0.662,-0.150705,0.203477
0.663,-0.17705,0.100471
0.664,-0.199539,0.029977
0.665,-0.225883,-0.0683
0.666,-0.246124,-0.122382
0.667,-0.271505,-0.104355
0.668,-0.292387,-0.126245
0.669,-0.316804,-0.109505
0.67,-0.341543,-0.049629
0.671,-0.367887,0.022574
0.672,-0.391662,0.055407
0.673,-0.418006,0.096931
0.674,-0.44403,0.121394
0.675,-0.462342,0.08148
0.676,-0.486438,0.0406
0.677,-0.510855,-0.008424
0.678,-0.534951,-0.094375
0.679,-0.558082,-0.238272
0.68,-0.584427,-0.322292
0.681,-0.604989,-0.380237
0.682,-0.633582,-0.499668
0.683,-0.65575,-0.533791
0.684,-0.680488,-0.518661
0.685,-0.703299,-0.515763
0.686,-0.72611,-0.499668
0.687,-0.753097,-0.414038
0.688,-0.776871,-0.35899
0.689,-0.802573,-0.340641
0.69,-0.828597,-0.288169
0.691,-0.849158,-0.28173
0.692,-0.87229,-0.342573
0.693,-0.895101,-0.368648
0.694,-0.921766,-0.435284
0.695,-0.944577,-0.540873
0.696,-0.9706,-0.668352
0.697,-0.994054,-0.746899
0.698,-1.021683,-0.836392
0.699,-1.043851,-0.909789
0.7,-1.055096,-0.913008
0.701,-1.087224,-0.924275
0.702,-1.11164,-0.921056
0.703,-1.136057,-0.882426
0.704,-1.160474,-0.785851
0.705,-1.183285,-0.753337
0.706,-1.205453,-0.740139
0.707,-1.232762,-0.665132
0.708,-1.258142,-0.685735
0.709,-1.284166,-0.745289
0.71,-1.309225,-0.796796
0.711,-1.333321,-0.861179
0.712,-1.351955,-0.994774
0.713,-1.376051,-1.096178
0.714,-1.400146,-1.162171
0.715,-1.425527,-1.266472
0.716,-1.448338,-1.3183
0.717,-1.472433,-1.303492
0.718,-1.492031,-1.327958
0.719,-1.522231,-1.307677
0.72,-1.546327,-1.25102
0.721,-1.57235,-1.175369
0.722,-1.591948,-1.144144
0.723,-1.616686,-1.102938
0.724,-1.638212,-1.076219
0.725,-1.673231,-1.118068
0.726,-1.685118,-1.157664
0.727,-1.711463,-1.205952
0.728,-1.734595,-1.291581
0.729,-1.757084,-1.434512
0.73,-1.782465,-1.518854
0.731,-1.80624,-1.576477
0.732,-1.832263,-1.700737
0.733,-1.857644,-1.732929
0.734,-1.876599,-1.717799
0.735,-1.900374,-1.714902
0.736,-1.921899,-1.696874
0.737,-1.948244,-1.611888
0.738,-1.97234,-1.55684
0.739,-1.997399,-1.538813
0.74,-2.023423,-1.486019
0.741,-2.047518,-1.476683
0.742,-2.072257,-1.540101
0.743,-2.094746,-1.566176
0.744,-2.121412,-1.632813
0.745,-2.142295,-1.73808
0.746,-2.167033,-1.866846
0.747,-2.191129,-1.945716
0.748,-2.21651,-2.033599
0.749,-2.239642,-2.105387
0.75,-2.258919,-2.11762
0.751,-2.289119,-2.122448
0.752,-2.310002,-2.121161
0.753,-2.33217,-2.083496
0.754,-2.355302,-1.988209
0.755,-2.377791,-1.952476
0.756,-2.398674,-1.940887
0.757,-2.425019,-1.862983
0.758,-2.449436,-1.883264
0.759,-2.477708,-1.944428
0.76,-2.502447,-1.995935
0.761,-2.523651,-2.059031
0.762,-2.546462,-2.19327
0.763,-2.572164,-2.29725
0.764,-2.595617,-2.362599
0.765,-2.617785,-2.466256
0.766,-2.640275,-2.518729
0.767,-2.667583,-2.506496
0.768,-2.692322,-2.524845
0.769,-2.716418,-2.506818
0.77,-2.740835,-2.452092
0.771,-2.763324,-2.375154
0.772,-2.787099,-2.343606
0.773,-2.811195,-2.302078
0.774,-2.836576,-2.276647
0.775,-2.867739,-2.318818
0.776,-2.889908,-2.356804
0.777,-2.916252,-2.406058
0.778,-2.941955,-2.492654
0.779,-2.970548,-2.635907
0.78,-2.994323,-2.722181
0.781,-3.006853,-2.777551
0.782,-3.009744,-2.901812
0.783,-3.007817,-2.928853
0.784,-3.009102,-2.909216
0.785,-2.990468,-2.899558
0.786,-2.968942,-2.869942
0.787,-2.941955,-2.771113
0.788,-2.916252,-2.698037
0.789,-2.889908,-2.660695
0.79,-2.861635,-2.585044
0.791,-2.83529,-2.553818
0.792,-2.809588,-2.588585
0.793,-2.786135,-2.587941
0.794,-2.765252,-2.627859
0.795,-2.739871,-2.701578
0.796,-2.715132,-2.79912
0.797,-2.688145,-2.844188
0.798,-2.665013,-2.90149
0.799,-2.63899,-2.942051
0.8,-2.618428,-2.912435
0.801,-2.589834,-2.887325
0.802,-2.564453,-2.847085
0.803,-2.545819,-2.7724
0.804,-2.523972,-2.63977
0.805,-2.497949,-2.565085
0.806,-2.477066,-2.516154
0.807,-2.450721,-2.394469
0.808,-2.427268,-2.374188
0.809,-2.401887,-2.392215
0.81,-2.378434,-2.401551
0.811,-2.355623,-2.422797
0.812,-2.329921,-2.514866
0.813,-2.306146,-2.576996
0.814,-2.284621,-2.600174
0.815,-2.261489,-2.659407
0.816,-2.238035,-2.670674
0.817,-2.213297,-2.613051
0.818,-2.187595,-2.587941
0.819,-2.161572,-2.525489
0.82,-2.140367,-2.422797
0.821,-2.114023,-2.300791
0.822,-2.090569,-2.224496
0.823,-2.064225,-2.1379
0.824,-2.044306,-2.068688
0.825,-2.023101,-2.059031
0.826,-1.997399,-2.054524
0.827,-1.969127,-2.057099
0.828,-1.945995,-2.097017
0.829,-1.924469,-2.191661
0.83,-1.89684,-2.23512
0.831,-1.873386,-2.242202
0.832,-1.849933,-2.322359
0.833,-1.828729,-2.304654
0.834,-1.80142,-2.245099
0.835,-1.775718,-2.196489
0.836,-1.756442,-2.131462
0.837,-1.734595,-1.998832
0.838,-1.707929,-1.894531
0.839,-1.682227,-1.83047
0.84,-1.658131,-1.729066
0.841,-1.633714,-1.676272
0.842,-1.60994,-1.685929
0.843,-1.583916,-1.668546
0.844,-1.561748,-1.685285
0.845,-1.538938,-1.742264
0.846,-1.517733,-1.824675
0.847,-1.49171,-1.852038
0.848,-1.468257,-1.894853
0.849,-1.443519,-1.925435
0.85,-1.421351,-1.88262
0.851,-1.397255,-1.846887
0.852,-1.374766,-1.796025
0.853,-1.350349,-1.710073
0.854,-1.322719,-1.568751
0.855,-1.299266,-1.485053
0.856,-1.272278,-1.424855
0.857,-1.251396,-1.298663
0.858,-1.226979,-1.27291
0.859,-1.20224,-1.283533
0.86,-1.181357,-1.287074
0.861,-1.158868,-1.303492
0.862,-1.134451,-1.387834
0.863,-1.111319,-1.446101
0.864,-1.088187,-1.463485
0.865,-1.060879,-1.519176
0.866,-1.035498,-1.531087
0.867,-1.014294,-1.466704
0.868,-0.988271,-1.432581
0.869,-0.959998,-1.370451
0.87,-0.941364,-1.265828
0.871,-0.917911,-1.139959
0.872,-0.893494,-1.060445
0.873,-0.871326,-0.974816
0.874,-0.847552,-0.901741
0.875,-0.820243,-0.890152
0.876,-0.79936,-0.882748
0.877,-0.772695,-0.88146
0.878,-0.749884,-0.919446
0.879,-0.72611,-1.013124
0.88,-0.698801,-1.054651
0.881,-0.676312,-1.060445
0.882,-0.650289,-1.141246
0.883,-0.629406,-1.121609
0.884,-0.604667,-1.05948
0.885,-0.578001,-1.011514
0.886,-0.556797,-0.943268
0.887,-0.534308,-0.811926
0.888,-0.509248,-0.706338
0.889,-0.487723,-0.641633
0.89,-0.459451,-0.539907
0.891,-0.435998,-0.479709
0.892,-0.410938,-0.494517
0.893,-0.3862,-0.475524
0.894,-0.364353,-0.491942
0.895,-0.339936,-0.546667
0.896,-0.312307,-0.628434
0.897,-0.288853,-0.656763
0.898,-0.266043,-0.700221
0.899,-0.241947,-0.726618
0.9,-0.220743,-0.687023
0.901,-0.198575,-0.647749
0.902,-0.17223,-0.599783
0.903,-0.146207,-0.513188
0.904,-0.119862,-0.371545
0.905,-0.097373,-0.289135
0.906,-0.070065,-0.229258
0.907,-0.048539,-0.10017
0.908,-0.022837,-0.075382
0.909,-0.002276,-0.085362
0.91,0.021567,-0.087615
0.911,0.046401,-0.102423
0.912,0.071236,-0.187409
0.913,0.092845,-0.244066
0.914,0.11768,-0.262737
0.915,0.141224,-0.317141
0.916,0.167994,-0.330018
0.917,0.192506,-0.265313
0.918,0.217018,-0.232799
0.919,0.241853,-0.170026
0.92,0.265398,-0.065725
0.921,0.289587,0.061844
